frame_num	player_1_number_of_shots	player_1_total_shot_speed	player_1_last_shot_speed	player_1_total_player_speed	player_1_speed	player_1_distance	player_2_number_of_shots	player_2_total_shot_speed	player_2_last_shot_speed	player_2_total_player_speed	player_2_speed	player_2_distance	player_2_last_player_speed	player_1_last_player_speed	time_in_seconds	player_1_average_shot_speed	player_2_average_shot_speed	player_1_average_player_speed	player_2_average_player_speed
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0				
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.041666666666666664			0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.08333333333333333			0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.125			0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.16666666666666666			0.0	0.0
5	0.0	0.0	0.0	0.0	11.038456320598456	0.6387995555901884	0.0	0.0	0.0	0.0	13.69152	0.7923333333333333			0.20833333333333334			11.038456320598456	11.038456320598456
6	0.0	0.0	0.0	0.0	11.038456320598456	0.6387995555901884	0.0	0.0	0.0	0.0	13.69152	0.7923333333333333			0.25			9.198713600498714	9.198713600498714
7	0.0	0.0	0.0	0.0	11.038456320598456	0.6387995555901884	0.0	0.0	0.0	0.0	13.69152	0.7923333333333333			0.2916666666666667			7.884611657570326	7.884611657570326
8	0.0	0.0	0.0	0.0	11.038456320598456	0.6387995555901884	0.0	0.0	0.0	0.0	13.69152	0.7923333333333333			0.3333333333333333			6.899035200374035	6.899035200374035
9	0.0	0.0	0.0	0.0	11.038456320598456	0.6387995555901884	0.0	0.0	0.0	0.0	13.69152	0.7923333333333333			0.375			6.1324757336658084	6.1324757336658084
10	0.0	0.0	0.0	0.0	7.9834594487312325	1.1008053107250977	0.0	0.0	0.0	0.0	1.936273327350248	0.9043861879253616			0.4166666666666667			9.510957884664844	9.510957884664844
11	1.0	44.92206711448761	44.92206711448761	0.0	7.9834594487312325	1.1008053107250977	0.0	0.0	0.0	4.31343847900456	1.936273327350248	0.9043861879253616	4.31343847900456		0.4583333333333333	44.92206711448761		8.646325349695314	8.646325349695314
12	1.0	44.92206711448761	44.92206711448761	0.0	7.9834594487312325	1.1008053107250977	0.0	0.0	0.0	4.31343847900456	1.936273327350248	0.9043861879253616	4.31343847900456		0.5	44.92206711448761		7.925798237220704	7.925798237220704
13	1.0	44.92206711448761	44.92206711448761	0.0	7.9834594487312325	1.1008053107250977	0.0	0.0	0.0	4.31343847900456	1.936273327350248	0.9043861879253616	4.31343847900456		0.5416666666666666	44.92206711448761		7.316121449742188	7.316121449742188
14	1.0	44.92206711448761	44.92206711448761	0.0	7.9834594487312325	1.1008053107250977	0.0	0.0	0.0	4.31343847900456	1.936273327350248	0.9043861879253616	4.31343847900456		0.5833333333333334	44.92206711448761		6.793541346189174	6.793541346189174
15	1.0	44.92206711448761	44.92206711448761	0.0	9.584064	1.655438644058431	0.0	0.0	0.0	4.31343847900456	13.69152	1.696719521258695	4.31343847900456		0.625	44.92206711448761		9.535326589776563	9.535326589776563
16	1.0	44.92206711448761	44.92206711448761	0.0	9.584064	1.655438644058431	0.0	0.0	0.0	4.31343847900456	13.69152	1.696719521258695	4.31343847900456		0.6666666666666666	44.92206711448761		8.939368677915528	8.939368677915528
17	1.0	44.92206711448761	44.92206711448761	0.0	9.584064	1.655438644058431	0.0	0.0	0.0	4.31343847900456	13.69152	1.696719521258695	4.31343847900456		0.7083333333333334	44.92206711448761		8.413523461567555	8.413523461567555
18	1.0	44.92206711448761	44.92206711448761	0.0	9.584064	1.655438644058431	0.0	0.0	0.0	4.31343847900456	13.69152	1.696719521258695	4.31343847900456		0.75	44.92206711448761		7.94610549148047	7.94610549148047
19	1.0	44.92206711448761	44.92206711448761	0.0	9.584064	1.655438644058431	0.0	0.0	0.0	4.31343847900456	13.69152	1.696719521258695	4.31343847900456		0.7916666666666666	44.92206711448761		7.527889412981498	7.527889412981498
20	1.0	44.92206711448761	44.92206711448761	0.0	6.981332765074588	2.0594509568520993	0.0	0.0	0.0	4.31343847900456	1.369152	1.7759528545920282	4.31343847900456		0.8333333333333334	44.92206711448761		8.896828133601069	8.896828133601069
21	1.0	44.92206711448761	44.92206711448761	0.0	6.981332765074588	2.0594509568520993	0.0	0.0	0.0	4.31343847900456	1.369152	1.7759528545920282	4.31343847900456		0.875	44.92206711448761		8.473169651048638	8.473169651048638
22	1.0	44.92206711448761	44.92206711448761	0.0	6.981332765074588	2.0594509568520993	0.0	0.0	0.0	4.31343847900456	1.369152	1.7759528545920282	4.31343847900456		0.9166666666666666	44.92206711448761		8.088025576000973	8.088025576000973
23	1.0	44.92206711448761	44.92206711448761	0.0	6.981332765074588	2.0594509568520993	0.0	0.0	0.0	4.31343847900456	1.369152	1.7759528545920282	4.31343847900456		0.9583333333333334	44.92206711448761		7.736372290087886	7.736372290087886
24	1.0	44.92206711448761	44.92206711448761	0.0	6.981332765074588	2.0594509568520993	0.0	0.0	0.0	4.31343847900456	1.369152	1.7759528545920282	4.31343847900456		1.0	44.92206711448761		7.414023444667558	7.414023444667558
25	1.0	44.92206711448761	44.92206711448761	0.0	7.9834594487312325	2.5214567119870086	0.0	0.0	0.0	4.31343847900456	9.681366636751239	2.3362171275521693	4.31343847900456		1.0416666666666667	44.92206711448761		8.714154396627102	8.714154396627102
